"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Buffalo Bills","","45.4","14.0","13.0","21.2","2.7","0.5","345.3","5,815.6","116.7"
"Denver Broncos","","52.5","12.5","11.1","16.2","2.6","0.5","342.0","5,392.8","116.3"
"Philadelphia Eagles","","45.7","13.5","13.3","22.5","2.7","0.0","344.3","5,512.6","115.6"
"Houston Texans","","47.6","15.2","10.0","14.1","2.7","0.5","349.6","5,509.7","115.1"
"Baltimore Ravens","","52.3","14.0","9.7","13.7","2.3","0.5","341.0","5,349.3","114.5"
"Dallas Cowboys","","51.9","12.0","10.3","16.6","2.6","0.0","398.0","5,933.7","111.8"
"Pittsburgh Steelers","","44.1","13.6","12.1","20.1","2.5","0.0","348.1","5,699.8","110.3"
"Green Bay Packers","","46.1","12.6","11.7","18.4","2.2","0.5","363.0","5,656.1","108.7"
"Minnesota Vikings","","45.7","13.6","10.2","15.1","2.5","0.0","356.8","5,330.1","108.5"
"New York Giants","","50.7","10.5","11.9","19.2","2.1","0.0","419.9","5,853.0","108.1"
"Detroit Lions","","43.0","13.8","9.6","14.2","2.5","0.0","374.8","5,797.2","104.8"
"Los Angeles Rams","","45.1","13.2","8.9","14.3","2.2","0.5","376.2","5,928.9","103.8"
"Los Angeles Chargers","","46.9","12.3","9.9","15.3","2.1","0.0","371.0","5,821.3","103.6"
"San Francisco 49ers","","42.9","13.3","8.9","14.1","2.3","1.0","384.7","5,648.3","103.1"
"Tampa Bay Buccaneers","","44.2","11.7","11.0","16.7","2.0","0.5","375.1","5,744.6","102.7"
"Washington Commanders","","45.9","11.1","10.3","16.0","2.1","0.5","399.4","6,112.1","102.4"
"Kansas City Chiefs","","45.8","11.8","9.3","14.2","2.2","0.5","348.4","5,592.4","102.2"
"Chicago Bears","","40.5","13.0","10.2","17.3","2.2","0.5","386.5","5,918.3","100.9"
"Seattle Seahawks","","45.2","12.7","8.6","14.2","2.0","0.5","362.9","5,652.3","100.9"
"Indianapolis Colts","","40.9","12.6","9.6","15.3","2.2","1.0","403.5","5,694.5","100.6"
"Arizona Cardinals","","43.1","12.0","9.1","14.7","2.1","1.0","392.0","5,811.4","99.7"
"Cleveland Browns","","44.9","11.1","9.2","14.4","2.2","0.0","418.0","5,983.7","98.5"
"New York Jets","","43.0","12.0","9.6","14.5","1.8","0.5","387.9","5,406.2","98.1"
"Cincinnati Bengals","","40.1","12.4","9.3","14.7","2.1","0.0","422.2","6,165.9","96.2"
"Las Vegas Raiders","","42.6","11.0","8.0","12.5","1.9","0.5","420.2","5,789.5","93.2"
"Miami Dolphins","","39.9","11.2","9.0","13.6","2.0","0.5","393.6","5,722.2","93.0"
"Atlanta Falcons","","39.4","11.6","8.5","14.0","1.9","0.5","414.0","6,034.1","92.2"
"Jacksonville Jaguars","","39.1","11.7","8.2","11.7","2.0","0.5","415.5","5,889.5","91.6"
"New Orleans Saints","","38.0","13.1","7.6","9.8","1.8","0.0","391.0","5,887.8","90.3"
"Tennessee Titans","","39.8","10.7","8.6","13.9","1.7","0.5","423.6","5,750.4","89.5"
"New England Patriots","","36.0","11.5","8.2","11.6","1.7","0.0","403.5","5,561.1","85.3"
"Carolina Panthers","","34.7","11.2","7.8","11.9","1.7","0.0","442.6","6,338.7","83.0"
""
""
