"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Brock Bowers (LV)","112","153","1,194","10.7","57","15","5","5","13","0","0","17","262.7","15.5","99.1%"
"2","Trey McBride (ARI)","111","147","1,146","10.3","37","10","2","1","2","1","0","16","249.8","15.6","98.4%"
"3","George Kittle (SF)","78","94","1,106","14.2","43","21","8","0","0","0","0","15","236.6","15.8","97.9%"
"4","Jonnu Smith (PIT)","88","111","884","10.0","57","4","8","2","-1","0","1","17","222.3","13.1","87.5%"
"5","Travis Kelce (KC)","97","133","823","8.5","38","9","3","1","1","0","1","16","195.4","12.2","95.8%"
"6","Mark Andrews (BAL)","55","69","673","12.2","67","6","11","4","5","0","0","17","188.8","11.1","94.3%"
"7","Zach Ertz (WAS)","66","91","654","9.9","37","7","7","0","0","0","0","17","177.4","10.4","47.7%"
"8","Sam LaPorta (DET)","60","83","726","12.1","52","11","7","0","0","0","0","16","174.6","10.9","97.8%"
"9","Pat Freiermuth (PIT)","65","78","653","10.0","30","7","7","0","0","0","2","17","168.3","9.9","49.8%"
"10","Tucker Kraft (GB)","50","70","707","14.1","67","11","7","3","6","0","1","17","163.3","9.6","84.7%"
"11","David Njoku (CLE)","64","97","505","7.9","29","4","5","0","0","0","0","11","148.5","13.5","90.9%"
"12","Hunter Henry (NE)","66","97","674","10.2","35","4","2","0","0","0","0","16","145.4","9.1","47.4%"
"13","Mike Gesicki (CIN)","65","83","665","10.2","47","5","2","0","0","0","1","17","141.5","8.3","31.8%"
"14","Cade Otton (TB)","59","87","600","10.2","44","7","4","1","-4","0","1","14","140.6","10.0","37.0%"
"15","Kyle Pitts (ATL)","47","74","602","12.8","52","7","4","0","0","0","0","17","131.2","7.7","50.7%"
"16","Isaiah Likely (BAL)","42","58","477","11.4","49","4","6","0","0","0","1","16","123.7","7.7","51.2%"
"17","Juwan Johnson (NO)","50","66","548","11.0","30","8","3","0","0","0","0","17","122.8","7.2","18.0%"
"18","Tyler Conklin (LAC)","51","72","449","8.8","27","7","4","1","0","0","0","16","121.9","7.6","12.7%"
"19","Cole Kmet (CHI)","47","55","474","10.1","31","7","4","0","0","0","0","17","120.4","7.1","26.0%"
"20","Dalton Schultz (HOU)","53","85","532","10.0","32","5","2","0","0","0","0","17","118.2","7.0","21.1%"
"21","Chig Okonkwo (TEN)","52","70","479","9.2","70","4","2","1","17","0","1","17","113.6","6.7","25.3%"
"22","Noah Gray (KC)","40","49","437","10.9","35","6","5","1","-4","0","0","17","113.3","6.7","14.9%"
"23","Will Dissly (LAC)","50","64","481","9.6","29","5","2","0","0","0","0","15","110.1","7.3","7.1%"
"24","Austin Hooper (NE)","45","59","476","10.6","38","5","3","0","0","0","1","17","108.6","6.4","3.5%"
"25","Jake Ferguson (DAL)","59","86","494","8.4","27","6","0","0","0","0","2","14","104.4","7.5","67.7%"
"26","Noah Fant (SEA)","48","64","500","10.4","32","3","1","0","0","0","0","14","104.0","7.4","17.3%"
"27","Dallas Goedert (PHI)","42","52","496","11.8","61","6","2","0","0","0","0","10","103.6","10.4","79.4%"
"28","Foster Moreau (NO)","32","43","413","12.9","41","7","5","0","0","0","0","17","103.3","6.1","1.6%"
"29","Taysom Hill (NO)","23","31","187","8.1","34","2","0","39","278","6","1","8","103.3","12.9","19.5%"
"30","Dalton Kincaid (BUF)","44","75","448","10.2","29","5","2","0","0","0","0","13","100.8","7.8","80.2%"
"31","Brenton Strange (JAC)","40","53","411","10.3","30","7","2","0","0","0","1","17","91.1","5.4","33.6%"
"32","Jordan Akins (FA)","40","58","390","9.8","21","3","2","0","0","0","0","16","91.0","5.7","1.0%"
"33","Evan Engram (DEN)","47","64","365","7.8","24","2","1","0","0","0","1","9","89.5","9.9","88.4%"
"34","T.J. Hockenson (MIN)","41","62","455","11.1","34","5","0","0","0","0","0","10","86.5","8.7","94.6%"
"35","AJ Barner (SEA)","30","38","245","8.2","20","1","4","0","0","0","0","17","78.5","4.6","4.4%"
"36","Ja'Tavion Sanders (CAR)","33","43","342","10.4","46","6","1","0","0","0","0","16","73.2","4.6","18.3%"
"37","Theo Johnson (NYG)","29","43","331","11.4","35","4","1","0","0","0","0","12","68.1","5.7","16.3%"
"38","Josh Oliver (MIN)","22","28","258","11.7","28","5","3","0","0","0","0","15","65.8","4.4","1.0%"
"39","Colby Parkinson (LAR)","30","49","294","9.8","23","2","1","0","0","0","0","17","65.4","3.8","4.5%"
"40","Josh Whyle (TEN)","28","37","248","8.9","33","3","1","0","0","0","0","17","60.8","3.6","1.0%"
"41","Grant Calcaterra (PHI)","24","30","298","12.4","34","6","1","0","0","0","0","17","59.8","3.5","2.8%"
"42","Dawson Knox (BUF)","22","33","311","14.1","39","7","1","0","0","0","0","16","59.1","3.7","5.6%"
"43","Luke Schoonmaker (DAL)","27","36","241","8.9","24","3","1","0","0","0","0","17","57.1","3.4","4.6%"
"44","Tommy Tremble (CAR)","23","32","234","10.2","38","2","2","0","0","0","1","12","56.4","4.7","1.5%"
"45","Elijah Higgins (ARI)","20","24","172","8.6","23","1","2","0","0","0","0","17","49.2","2.9","2.0%"
"46","Nick Vannett (FA)","17","20","135","7.9","24","1","3","0","0","0","0","13","48.5","3.7","0.0%"
"47","Johnny Mundt (JAC)","19","27","142","7.5","20","1","2","0","0","0","0","15","45.2","3.0","0.1%"
