"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Ja'Marr Chase","CIN","WR1","1.6","12.7","0.0","120.7","1,586.1","12.2","0.6","352.9"
"Bijan Robinson","ATL","RB1","304.1","1,418.7","11.4","57.7","438.5","2.2","1.4","322.2"
"Jahmyr Gibbs","DET","RB2","240.0","1,240.0","11.7","57.7","507.2","2.8","1.3","316.5"
"Saquon Barkley","PHI","RB3","327.8","1,667.3","10.8","41.9","317.9","2.2","1.4","315.6"
"Justin Jefferson","MIN","WR2","0.5","2.2","0.0","105.2","1,459.4","9.6","0.6","307.7"
"CeeDee Lamb","DAL","WR3","9.2","59.3","0.3","110.9","1,385.9","8.0","1.0","303.1"
"Christian McCaffrey","SF","RB4","240.4","1,092.3","8.0","64.2","557.9","3.5","1.8","294.2"
"Puka Nacua","LAR","WR4","10.7","61.2","0.6","104.9","1,362.6","6.9","0.6","291.1"
"Malik Nabers","NYG","WR5","2.6","12.2","0.0","107.0","1,343.3","8.2","0.6","290.8"
"Amon-Ra St. Brown","DET","WR6","1.9","12.6","0.1","110.3","1,263.3","8.8","0.9","289.3"
"De'Von Achane","MIA","RB5","214.4","1,000.8","7.4","68.3","503.2","3.9","1.3","283.6"
"Nico Collins","HOU","WR7","0.0","1.6","0.0","91.9","1,312.1","8.9","0.5","275.5"
"Brian Thomas Jr.","JAC","WR8","3.8","24.9","0.0","91.9","1,298.2","8.6","0.6","274.7"
"Derrick Henry","BAL","RB6","302.0","1,534.8","13.5","16.4","152.5","0.9","1.4","268.7"
"Drake London","ATL","WR9","0.3","2.0","0.0","95.9","1,232.9","8.2","0.6","267.5"
"Josh Jacobs","GB","RB7","290.6","1,232.5","11.5","38.1","316.0","1.5","1.5","267.3"
"Ashton Jeanty","LV","RB8","272.8","1,219.6","9.0","45.9","362.4","1.9","2.4","264.3"
"Tyreek Hill","MIA","WR10","7.2","40.7","0.1","94.2","1,182.6","7.7","0.6","262.5"
"Jonathan Taylor","IND","RB9","310.4","1,412.1","10.6","28.6","205.1","1.3","1.6","258.7"
"A.J. Brown","PHI","WR11","0.0","0.0","0.0","84.9","1,243.6","8.4","0.9","257.6"
"Chase Brown","CIN","RB10","242.9","1,011.0","8.1","54.6","382.9","2.7","1.4","256.0"
"Brock Bowers","LV","TE1","0.0","8.0","0.0","106.1","1,129.1","6.1","0.5","255.4"
"Ladd McConkey","LAC","WR12","0.0","1.4","0.0","90.5","1,209.5","7.4","0.7","254.4"
"Kyren Williams","LAR","RB11","284.5","1,223.5","11.5","33.7","213.5","1.7","2.3","251.5"
"Bucky Irving","TB","RB12","241.6","1,137.3","8.5","44.5","343.8","1.7","1.4","250.7"
"Tee Higgins","CIN","WR13","0.0","0.0","0.0","86.6","1,099.7","8.9","0.9","248.3"
"Mike Evans","TB","WR14","0.0","0.0","0.0","79.7","1,071.6","9.9","0.5","245.6"
"Jaxon Smith-Njigba","SEA","WR15","2.7","20.7","0.0","93.7","1,102.7","6.6","0.6","244.5"
"Davante Adams","LAR","WR16","0.3","0.0","0.0","85.2","1,100.3","8.3","0.5","244.3"
"Trey McBride","ARI","TE2","0.0","1.5","0.0","104.4","1,053.5","5.8","0.5","244.0"
"Alvin Kamara","NO","RB13","222.5","923.9","5.3","62.2","469.1","2.0","1.3","242.2"
"Terry McLaurin","WAS","WR17","1.1","4.8","0.0","81.4","1,085.0","7.8","0.9","235.6"
"Garrett Wilson","NYJ","WR18","1.9","13.5","0.0","90.5","1,083.4","6.0","1.3","233.5"
"James Cook","BUF","RB14","232.1","1,087.7","9.7","31.4","259.0","1.9","1.4","232.9"
"DK Metcalf","PIT","WR19","0.0","1.2","0.0","77.8","1,137.9","7.3","1.3","232.7"
"Marvin Harrison Jr.","ARI","WR20","0.0","3.2","0.0","78.9","1,090.4","7.6","1.0","232.0"
"DJ Moore","CHI","WR21","9.5","53.8","0.1","87.1","1,013.8","6.3","0.9","230.8"
"Breece Hall","NYJ","RB15","221.3","988.6","5.8","46.4","380.0","2.1","1.9","227.0"
"James Conner","ARI","RB16","218.1","986.0","8.1","40.8","313.0","1.7","1.4","226.1"
"George Kittle","SF","TE3","0.0","0.0","0.0","76.1","1,030.5","7.5","0.5","222.9"
"Zay Flowers","BAL","WR22","8.2","48.4","0.1","75.9","1,034.4","6.3","0.5","221.7"
"Kenneth Walker III","SEA","RB17","232.4","959.9","8.1","42.0","298.1","1.2","1.3","221.4"
"Courtland Sutton","DEN","WR23","0.0","0.2","0.0","76.7","1,017.7","7.4","0.9","221.1"
"Xavier Worthy","KC","WR24","15.4","84.4","1.5","72.0","894.8","7.2","0.5","221.1"
"Chuba Hubbard","CAR","RB18","246.3","1,087.6","8.0","37.9","230.7","1.0","1.8","220.1"
